"year","Postpone 2020 SIAs until 2021, Imperial","Postpone 2020 SIAs until 2021, Notre Dame","50% reduction in RI, Imperial","50% reduction in RI, Notre Dame","50% reduction in RI, postpone 2020 SIAs until 2021, Imperial","50% reduction in RI, postpone 2020 SIAs until 2021, Notre Dame"
2020,5552,0,909,403,6615,403
2021,-1211,2893,725,401,-519,3294
2022,-1013,-484,625,322,-415,-231
2023,-875,-413,555,280,-344,-192
2024,-727,-356,481,246,-266,-160
2025,-715,-348,473,243,-261,-155
2026,-704,-347,467,242,-255,-154
2027,-692,-344,461,240,-250,-153
2028,-681,-342,455,239,-244,-153
2029,-670,-341,449,239,-239,-151
2030,-659,-339,443,238,-233,-150
